DO(ppm),pH,Temperature(*C),TDS,Health
3.6,8.6,43,72,0
3.4,5.1,31,217,0
3.7,8.2,18,75,0
3.8,8.5,29,90,0
4,7,31,75,0
3.8,8.5,29,215,0
3.1,6.5,28,58,0
5.4,9.4,31,216,0
3.7,7.4,31,223,0
3.7,8.7,30,65,0
4.7,8.4,29,229,0
3.7,8.6,28,300,0
3.7,7,27,271,0
3.8,7.5,31,68,0
4.2,13.2,29,215,0
5.2,7.4,28,97,0
5,8.3,29,60,0
4.7,9.4,27,74,0
3.8,6.8,26,207,0
3.5,7.2,28,53,0
3.7,7.9,31,244,0
3.8,7.5,31,202,0
3.8,8.6,30,91,0
3.6,7.3,29,85,0
2.5,6,32,69,0
3.7,7.9,21,98,0
4.8,12.1,27,53,0
3.5,8,28,72,0
2.9,6.4,30,88,0
5.6,12.6,26,60,0
3.1,5.5,27,217,0
3.9,7.4,31,234,0
5.1,7.8,30,233,0
5.4,13.9,30,69,0
3.6,7.8,34,79,0
3.4,6,27,210,0
3.7,7.1,40,91,0
3.5,7.8,26,231,0
3.6,7.9,37,72,0
3.9,7,27,254,0
3.8,7.2,32,290,0
2.6,5.3,30,61,0
3.6,7.9,31,260,0
2.8,6.5,30,88,0
3.1,5,28,74,0
2.7,6.1,32,96,0
3.9,8.2,31,287,0
3.8,7.4,33,282,0
4,8.4,16,269,0
3.8,7.4,31,95,0
3.4,6.5,28,208,0
2.8,6.3,28,93,0
4.7,11.6,29,87,0
3.5,7.9,30,74,0
4.5,8.9,27,272,0
3.8,7.1,40,282,0
3.5,7.9,26,92,0
2.7,5.8,26,65,0
3.8,6.9,29,86,0
3.6,7.5,27,64,0
4,6.9,27,286,0
3.8,7.8,29,88,0
3.8,8.2,28,98,0
2.7,5.1,28,64,0
3.1,6,29,70,0
3.9,7.2,16,222,0
2.7,5.9,29,79,0
4,8.4,32,87,0
4,8,26,68,0
3.4,5.8,31,223,0
3.6,7.8,26,99,0
3.9,7.6,38,58,0
3,5.2,28,59,0
3.8,7.1,31,94,0
3.9,8.2,27,57,0
3.5,8,27,270,0
4,7.6,31,264,0
3.7,8.5,26,53,0
3.6,6.9,29,294,0
3.6,8.1,32,75,0
5,10.2,28,226,0
2.7,6.1,31,73,0
4,6.9,27,211,0
3.6,8.5,17,233,0
3,5,29,248,0
3.8,7.8,18,61,0
3.7,7.4,24,68,0
3.2,5.8,26,74,0
3.9,7.3,28,80,0
3.8,8.5,26,95,0
3.1,5.9,31,276,0
3.9,7.8,32,276,0
3.6,8.3,31,57,0
3.9,8.1,31,204,0
3.5,7.1,32,222,0
3.6,7.7,20,204,0
3.6,6.8,28,266,0
3.7,8.5,31,245,0
3.4,6.2,26,50,0
3.6,7.4,27,237,0
3.5,6.8,29,71,0
3.2,6,32,50,0
3.3,5,27,222,0
3.3,6.7,30,296,0
4,6.9,22,56,0
3.8,7.9,20,83,0
4.2,7.4,32,200,0
4.4,11.5,30,246,0
3.8,8.2,15,61,0
4.3,7.3,29,97,0
3.7,7.6,31,86,0
3.9,8.6,29,65,0
3.6,8.3,45,245,0
3.6,8.7,32,50,0
3.8,8,30,247,0
3.9,8.4,20,292,0
4,7.4,28,209,0
4,8.6,44,232,0
3.8,7,17,85,0
3.6,7.5,45,66,0
5.2,12.5,27,254,0
3.7,7.3,19,207,0
3.6,7.2,18,255,0
3.8,8,15,64,0
3.8,7.8,21,240,0
4,8.1,30,65,0
5.2,11.1,26,250,0
3.6,7.8,41,98,0
3.7,8.5,31,67,0
3.9,8.3,22,230,0
4,8.4,27,239,0
3.5,7.7,25,91,0
4.2,8.7,28,65,0
3.5,7,29,76,0
3.8,7.4,25,79,0
3.7,7.8,38,238,0
3.2,6,31,81,0
5.6,7.3,30,62,0
3.9,8.5,31,62,0
3.6,7.6,22,93,0
3.5,6.8,39,71,0
5,9.6,28,86,0
4,8.3,29,95,0
5.3,7.1,30,79,0
3.5,7.4,21,239,0
4,8,30,252,0
2.8,5.2,28,69,0
4,7.3,27,67,0
4.8,9.7,28,238,0
5.8,8.3,27,65,0
5.1,11.2,29,247,0
3.2,5.7,28,86,0
5.5,10.6,27,92,0
3.5,8,17,59,0
4,8.5,28,66,0
4,7.3,29,264,0
3,5.7,29,292,0
4.7,9.2,30,76,0
3.5,7.9,30,80,0
3.8,8.7,37,253,0
3.4,6.3,30,272,0
3.5,7.7,29,280,0
3.6,7.1,31,210,0
3.7,7.2,30,63,0
3.9,8.1,27,100,0
3.7,7.1,26,85,0
3.9,7.8,16,54,0
3.5,8.6,34,272,0
2.5,6.7,30,226,0
2.8,6.2,30,97,0
4.8,10.9,30,276,0
5.6,13.8,27,215,0
4.2,10.9,30,68,0
3.8,6.8,31,201,0
3.5,8.4,31,228,0
5.5,11.8,29,209,0
3.8,7.2,26,262,0
3.8,7.3,28,237,0
3.2,5.6,28,90,0
3.8,8.2,26,94,0
3.7,7.1,19,223,0
3.9,6.8,33,234,0
3.7,7.9,28,100,0
3.2,6.2,28,95,0
2.5,6.1,31,86,0
5.7,12.9,28,279,0
3.8,7.1,31,50,0
2.5,5.4,32,218,0
3.6,7.9,30,232,0
5.1,12.1,27,274,0
4,7.7,31,64,0
3.7,7,27,285,0
2.7,5.2,32,90,0
3.1,5.8,31,51,0
5.3,14,28,56,0
3.3,5.8,27,80,0
3.5,7.2,30,299,0
3.6,8.3,30,287,0
3.5,8.3,31,228,0
3.6,8.3,30,66,0
3.7,7.7,30,58,0
3.6,8.3,43,290,0
5.6,11.4,27,97,0
5.9,12,30,70,0
3.7,8,19,94,0
3.5,7.1,39,55,0
3.2,5.2,28,80,0
3.7,7.9,37,65,0
3,6.7,27,93,0
5.5,9.7,30,269,0
3.5,6.9,27,59,0
2.5,5.8,29,79,0
3.5,7.8,30,246,0
2.8,6.5,28,84,0
3.6,7.1,27,292,0
3.6,8.1,24,241,0
4,7.1,17,233,0
5.9,12,32,200,0
3.8,8.3,26,297,0
3.7,8.7,43,217,0
3.7,7.3,18,232,0
3.8,7.2,18,64,0
3.5,8.2,32,58,0
6,7,30,277,0
3.9,8.1,31,57,0
3.7,7.6,19,71,0
6,10.2,30,286,0
4,6.9,21,266,0
3.5,7.4,20,208,0
2.6,5.2,31,98,0
3.7,8.3,27,291,0
4,6.9,31,96,0
3.5,7.2,30,267,0
3.9,8.1,31,76,0
4,7.6,24,77,0
4,7.2,31,82,0
3.8,8.4,34,60,0
2.7,5.4,32,224,0
4,8.2,31,228,0
3.7,7.7,27,253,0
5,11.4,28,274,0
5.1,13.8,27,78,0
3.8,8.4,26,230,0
3.7,8,28,80,0
3.8,7.8,26,254,0
3.5,7.9,29,278,0
3.7,7.3,15,52,0
4.8,13.2,28,224,0
4,6.9,27,72,0
3.9,6.9,27,276,0
3.5,7.4,32,90,0
3.9,8.3,30,203,0
3.1,5.2,32,74,0
3.9,6.8,29,211,0
3.8,7.8,31,71,0
3.3,6.5,26,60,0
3.3,6.7,29,271,0
2.6,5.4,29,54,0
5.8,12.6,29,285,0
2.8,5.3,31,76,0
3.5,7.1,27,215,0
4,6.8,28,278,0
4,7.3,30,276,0
4,6.9,15,94,0
3.6,7.7,29,58,0
4,7.2,29,256,0
3.7,7.8,30,74,0
4,8.4,45,62,0
5.2,7.6,31,298,0
3.2,6,31,93,0
3.8,8,44,218,0
3.6,8.5,30,69,0
3.9,7.1,36,84,0
4,6.9,33,234,0
3.5,8,30,296,0
3.2,5.5,27,254,0
2.6,6.2,30,241,0
4.6,12.8,30,84,0
3.8,7.4,15,56,0
3.5,8.6,29,61,0
4.7,13.2,31,225,0
5.7,7.3,31,51,0
3.5,8.4,27,211,0
3.9,7.3,40,83,0
3.8,7.9,32,53,0
4,8.1,26,202,0
4.7,11.3,26,257,0
5.8,11.2,29,75,0
2.9,5.8,26,257,0
3.9,7.8,31,295,0
3.5,8.1,29,260,0
3.6,7.6,31,89,0
3.5,7.4,29,289,0
3.7,7.6,35,240,0
3.9,7.2,28,241,0
3.9,8.2,30,76,0
3,5.5,31,95,0
3.3,6.7,30,258,0
3.5,8.7,25,250,0
6,12.7,32,59,0
2.9,6.1,26,88,0
5.8,13.6,31,294,0
3.1,5.1,32,245,0
4.7,12.5,31,296,0
5.1,8.6,30,261,0
3.5,6.8,43,295,0
3.5,6.9,27,90,0
3.7,7.5,29,257,0
3,6.3,29,62,0
3.5,7.1,28,224,0
3.8,7.7,24,254,0
3.5,6.8,27,221,0
3.7,7,24,219,0
4,8.2,29,222,0
2.9,5.4,29,65,0
3.6,7,41,83,0
3.9,7.7,19,88,0
3.7,8.6,21,99,0
4,7.7,19,65,0
3.5,6.8,28,256,0
3.6,7.1,31,268,0
3.6,8.7,26,60,0
3.6,8.7,31,239,0
5.5,12.4,30,93,0
5.9,10.1,29,265,0
5.6,12.2,32,67,0
3.9,8.4,27,205,0
3.7,8.4,16,68,0
3.6,7.3,32,82,0
3.5,7.4,30,55,0
5.4,8.8,27,54,0
2.8,5.6,30,65,0
4,8.2,27,201,0
4.6,11.9,27,62,0
3.6,8,43,224,0
3.5,8.1,34,55,0
4.6,12.6,31,88,0
3.9,8,26,213,0
3.7,7.6,35,57,0
4.6,8.4,32,288,0
3.9,7.8,29,227,0
3.7,8.3,30,73,0
3.5,8.5,30,59,0
3.7,7.8,44,246,0
3.7,7.7,26,268,0
3.8,6.9,32,235,0
4,7.2,32,69,0
3.8,7.9,35,264,0
53,8.9,26,71,0
3.6,7,17,238,0
3.5,7.9,27,222,0
4,8,28,63,0
3.8,7.6,26,86,0
5.5,13.9,30,75,0
3.6,7.7,18,100,0
2.6,5.7,32,60,0
4.5,9.5,31,59,0
3.5,7.7,31,95,0
3.5,8.7,29,61,0
3.6,7,19,242,0
3.7,8.3,16,264,0
3.6,8.7,27,300,0
5.9,7.7,30,59,0
3.8,7.5,26,78,0
2.6,5.8,30,89,0
3.9,6.9,26,266,0
3.6,8.2,29,255,0
6,12.6,29,275,0
3.9,7.7,27,69,0
3.5,8.3,42,275,0
3.7,7.4,27,268,0
3.8,8,30,284,0
4,7.2,31,73,0
3.9,7,29,272,0
4,6.9,27,59,0
4,8.1,32,92,0
3.8,8.7,43,95,0
3.2,6.5,29,69,0
3.5,7.5,29,265,0
3.6,8.6,27,255,0
3.3,5.2,26,98,0
4,7.3,20,236,0
3.6,7.2,33,81,0
3.8,7.4,24,268,0
3.6,7.5,29,90,0
2.9,6.6,31,223,0
3.9,7.1,18,249,0
3.9,6.9,20,85,0
4,7.5,16,246,0
3.8,7.7,20,232,0
2.8,6.6,31,82,0
3.9,6.9,27,74,0
5.8,13.6,26,63,0
5,12.1,29,264,0
4.6,12,26,298,0
4,8.6,33,238,0
4,8,28,246,0
5.7,12,28,237,0
2.8,5.5,28,293,0
3.6,8.3,28,219,0
3.7,8.5,28,85,0
3.4,5.3,29,204,0
3.8,7.6,26,232,0
3.9,7.5,15,66,0
3.7,8.1,32,244,0
3.5,7.2,30,207,0
4,6.8,32,89,0
3.9,8.4,33,211,0
3.9,7.2,28,81,0
3.9,7.3,32,74,0
4,7.5,22,80,0
5,11.8,26,287,0
3.7,7.7,30,204,0
3.5,8.7,28,52,0
3.9,7.2,29,64,0
3.9,8.5,27,237,0
3.6,7.8,30,66,0
5,9.6,30,282,0
3.8,8,30,202,0
3.7,7,31,283,0
3.4,6.3,32,239,0
3,6.2,26,65,0
3.1,5.4,29,95,0
3.9,8.7,21,241,0
3.5,8.1,20,283,0
3.5,7.8,27,229,0
3.8,7.2,45,266,0
3.9,7.8,41,97,0
4,8.7,41,86,0
5.8,8.7,27,225,0
3.6,6.9,25,67,0
3.6,7.4,26,233,0
3.5,7.1,31,74,0
4,7.8,15,98,0
3.2,6.1,30,293,0
4,8.1,27,204,0
5.8,13.9,32,57,0
3.6,8.5,16,78,0
3.6,6.9,26,97,0
3.5,8.2,25,64,0
3.7,7.7,23,291,0
3.7,7.4,16,67,0
2.8,6.3,31,262,0
3.9,7.5,26,98,0
3.5,7.9,15,96,0
3.8,6.9,20,282,0
3.7,8.7,19,64,0
3.9,8.7,31,265,0
5.2,8.8,26,86,0
3.9,7.1,30,50,0
3.9,8,35,264,0
3.8,8.1,31,202,0
3.9,7.9,32,266,0
3.6,7,18,206,0
2.8,5.2,27,234,0
3.8,7.9,29,237,0
3.8,7,30,238,0
3.8,7.5,30,238,0
4.2,10.5,32,225,0
3.7,7.3,29,233,0
42,7.4,30,206,0
4,7.9,43,52,0
3.9,7.6,43,94,0
5.4,8.9,32,99,0
5.9,7.5,28,296,0
3.6,8.2,18,69,0
5,7.5,26,56,0
3.3,6.5,29,86,0
3.5,8.1,27,84,0
3,5.4,28,73,0
3.8,7.1,43,225,0
3.5,6.9,26,281,0
3,5.1,27,100,0
3.8,8.4,35,70,0
5.4,11.6,32,90,0
3.7,7.2,32,65,0
3.7,8,26,215,0
4,8.6,32,83,0
5.2,7.5,29,85,0
5,8.1,28,291,0
2.9,5,31,220,0
3.3,6.4,27,58,0
3.4,5,32,200,0
3.7,7.2,42,291,0
4.5,12.1,28,75,0
5.7,7.4,29,87,0
3.5,7.9,23,281,0
4,8.5,27,218,0
43,13.4,28,75,0
5.7,9.7,29,86,0
3.7,8.7,28,239,0
3.6,7.2,32,200,0
4.8,11.2,27,91,0
2.9,6.6,32,278,0
2.8,5.2,31,80,0
3.5,8.5,31,57,0
3.6,8.5,30,80,0
3.5,7.4,26,242,0
3.9,8.6,27,54,0
2.5,6.2,26,244,0
3.5,8,30,209,0
3.5,7.9,27,76,0
3.8,7.9,32,277,0
4,7.8,27,290,0
3.8,7.2,32,99,0
3.8,7.5,16,59,0
4.5,13.3,32,86,0
3.9,7.6,26,282,0
3.9,6.9,27,245,0
3.8,8.4,28,238,0
3.8,8.1,38,249,0
3.5,7.8,39,93,0
3.7,8,30,264,0
3.9,7.2,18,250,0
3.8,8.7,32,61,0
3.9,6.8,41,81,0
3.6,7.2,26,72,0
3.7,7.5,38,79,0
3.6,7.2,30,241,0
3.7,8.5,22,78,0
3.1,5.7,32,52,0
3.4,6.6,27,282,0
3.9,8.6,29,203,0
3.7,7.5,29,293,0
2.5,5.9,28,89,0
4,7.7,15,94,0
3.7,8.7,21,227,0
3.8,7.6,26,65,0
4,8.4,31,280,0
46,10.9,28,87,0
3.9,8.5,39,229,0
3.8,7.6,30,98,0
3.7,7.9,27,212,0
3.3,6.1,30,239,0
3.9,7.9,20,81,0
4,7.9,31,282,0
3.6,8.7,16,83,0
3.7,8.6,28,76,0
3.5,7.4,28,222,0
3.9,7.6,35,213,0
3.5,8.6,39,71,0
2.9,6,31,292,0
3.5,7.8,27,217,0
3.9,7.1,41,277,0
3.4,5.9,28,221,0
3.7,8.1,25,69,0
3.7,7.2,21,79,0
4.3,9.6,26,205,0
3.5,8.2,30,56,0
2.9,6,30,66,0
3.9,7.1,17,65,0
4,8.5,28,68,0
3.6,7.5,34,96,0
3.7,8.7,15,59,0
4,8.7,21,233,0
4,7.8,20,97,0
3.8,8.4,27,202,0
4,7.1,44,79,0
3.5,8.7,26,215,0
3.1,6.3,27,267,0
3.9,8.7,30,277,0
3.7,7.1,23,89,0
3.5,7.7,24,230,0
3.7,8.1,16,289,0
4,8.5,31,200,0
5.7,11,27,273,0
4,7.7,23,293,0
3.5,6.8,27,215,0
4,7,32,229,0
3.7,7.1,35,290,0
3.9,7.7,30,59,0
4,8.2,26,283,0
3.7,7.7,21,68,0
4,7.5,30,261,0
2.5,5,27,85,0
3.7,7,32,290,0
4,8.5,37,231,0
3.8,8.2,31,268,0
4.6,13.9,30,239,0
3.5,7.6,44,215,0
5,9.3,28,55,0
4.7,9,31,72,0
3.7,7.6,29,247,0
3.2,5.1,32,296,0
3.7,8.1,22,97,0
3.2,5.3,28,79,0
5.1,12.1,29,235,0
4,7.7,21,97,0
4.9,8.5,30,89,0
4,7.7,29,214,0
3.9,7.1,30,90,0
3.5,8.1,17,76,0
3.9,8.3,30,62,0
3,6.4,27,52,0
3.5,7,29,259,0
2.9,6.5,29,53,0
3.9,7,32,62,0
3.1,6.5,27,79,0
3.5,7.1,25,75,0
3.7,7.9,26,209,0
4,7,26,238,0
5.3,11.1,27,268,0
4.9,9.1,29,65,0
3.5,7.5,26,278,0
3.6,7.5,31,200,0
3.5,8.7,30,248,0
4,7.7,38,58,0
3.9,8,24,260,0
3.6,7.2,36,224,0
3.8,6.8,28,291,0
3.5,7.8,26,87,0
3.9,8.7,31,220,0
6,11.5,28,253,0
2.8,6.7,29,70,0
5.8,7.1,28,78,0
5.6,8.2,26,72,0
3.7,7.6,31,74,0
3.6,8.1,32,64,0
3.7,8.2,31,288,0
3.3,6.1,27,232,0
3.9,7.5,37,52,0
3.5,6.8,28,60,0
2.7,6.2,32,280,0
3.9,8.6,32,70,0
3.8,7.4,26,65,0
3.1,6.1,27,73,0
3.9,8.5,37,228,0
3.9,7.7,28,280,0
3.6,8,27,70,0
3.2,6.6,31,82,0
3.5,7.4,20,86,0
3.8,8,31,86,0
3.9,7.3,40,73,0
4,7.4,26,71,0
4.5,8.8,32,96,0
2.9,6,26,237,0
4,8.6,28,240,0
4,7,23,77,0
4,6.8,27,265,0
5.1,9.5,27,273,0
3.4,5.3,31,203,0
3.9,8.1,28,81,0
2.6,5.8,30,219,0
3.9,8.6,29,210,0
3.5,6.8,27,205,0
3.8,8.3,31,294,0
3.6,8.4,33,77,0
3.7,7.3,29,97,0
3.4,5.3,29,242,0
3.7,6.9,31,248,0
3.5,8.2,39,220,0
3.4,6.6,26,210,0
4,7.1,30,76,0
3.7,8.4,31,296,0
4.5,7.4,31,82,0
2.9,6.6,26,77,0
2.5,6.4,26,57,0
3.6,8.7,39,255,0
3.5,8.5,42,96,0
3.7,7.9,31,215,0
3,6.4,30,290,0
3.5,7.3,22,256,0
3.5,7.8,43,59,0
3.9,7.4,24,224,0
3.8,7.3,28,94,0
4,8.5,20,214,0
3.9,8.3,29,85,0
4.8,12.1,27,286,0
3.5,7.5,31,78,0
4,6.9,16,51,0
3.9,7.1,39,97,0
3.6,7.3,27,286,0
3.9,7.6,23,223,0
4,7.3,27,267,0
3.8,7.5,30,87,0
3.8,7.6,30,83,0
3.4,5.3,26,76,0
4,8.7,21,69,0
2.5,5.8,30,266,0
3.6,7.4,29,94,0
3.6,8.4,30,278,0
5.3,10.2,26,236,0
3.4,5.2,31,290,0
3.3,5.5,31,64,0
3.9,7.6,31,229,0
4.8,8.5,30,250,0
3.6,7.4,31,69,0
3.8,7.3,28,293,0
3.5,6.9,30,92,0
5.6,10.9,28,89,0
3.4,6.4,26,231,0
3.5,8.5,17,61,0
3.7,7.9,30,86,0
3.8,8.7,26,57,0
5.3,7.1,29,261,0
3.9,7.1,32,238,0
3.6,8.1,31,77,0
3.5,7.5,40,263,0
2.9,6.2,26,254,0
3.9,7.2,26,257,0
5.4,11.7,27,235,0
4,8.1,25,86,0
3.6,6.9,27,232,0
4.3,9.9,31,256,0
3.8,8.6,31,265,0
2.7,5.1,31,73,0
3.5,6.8,31,72,0
3.5,8.1,18,91,0
3.5,8.5,27,282,0
4,7.1,28,96,0
2.5,6,32,52,0
4,7.3,28,224,0
3.8,6.8,28,78,0
3.9,8,26,78,0
3.8,8.3,15,256,0
3.6,7.7,33,55,0
3.7,8.1,36,267,0
3.6,8.2,26,212,0
4,7.4,31,76,0
3.6,7,15,90,0
4,7.9,27,56,0
3.6,7.9,32,280,0
3.2,6.1,30,61,0
2.8,5.1,32,71,0
5.3,10.9,30,64,0
3.9,8.6,26,89,0
3.7,7.4,36,256,0
4,7.3,29,253,0
3,5.1,32,276,0
3.6,8.2,32,83,0
3.5,7,29,224,0
4,6.9,20,223,0
2.9,6.1,32,60,0
4.7,9.5,31,60,0
3.9,8.6,27,245,0
3.6,6.8,28,88,0
3.8,7.9,24,218,0
4.3,10.5,31,223,0
3.6,7.8,37,226,0
3.9,8.6,31,202,0
2.6,5.1,26,79,0
4.4,7.8,31,92,0
4,7,23,262,0
2.8,5.2,31,296,0
2.7,5.8,30,255,0
5.1,10,27,237,0
5,11.8,30,84,0
3.7,7.2,32,236,0
3.6,7.1,29,97,0
3.8,7.8,25,256,0
3.5,7.2,29,88,0
3.5,7.5,17,89,0
3.5,7.6,32,62,0
3.8,7.5,16,89,0
5.2,12.1,30,226,0
3.5,7.8,31,278,0
5.3,7.5,31,59,0
3.8,8.6,44,250,0
2.8,5.9,32,61,0
3.5,7.3,17,211,0
4.9,8.1,27,99,0
3.7,7.5,32,234,0
3.7,8.2,29,238,0
3.7,7.7,32,225,0
3.7,8.7,24,99,0
5.3,10.6,29,220,0
3.3,5.9,27,50,0
4,6.9,31,288,0
4.7,12.6,26,78,0
3.7,8,18,237,0
2.7,6,29,92,0
3.7,7.8,30,246,0
5.5,7.5,32,202,0
6,11.9,28,94,0
3.6,7,27,89,0
3.9,8.1,29,51,0
3.7,7.2,32,53,0
3.6,8.3,19,202,0
3.6,7.7,20,65,0
3.8,7.1,26,263,0
3.5,7.6,30,56,0
3.9,8.2,30,225,0
3.9,7.1,33,85,0
3.9,8.5,44,225,0
5.3,12.2,31,264,0
4.4,9.6,26,82,0
3.9,6.8,22,255,0
4.4,12.4,27,218,0
3.9,8.1,32,99,0
3.8,8.2,21,251,0
4,7.5,28,220,0
3.1,6.3,28,93,0
4,7.2,23,256,0
3.9,7.1,27,238,0
4,8.2,34,300,0
3.4,6.2,29,297,0
46,12.9,32,258,0
3.9,7.3,26,87,0
3.9,6.9,21,252,0
4,8.4,41,228,0
3.6,8.2,24,56,0
3.9,7.3,28,268,0
3.5,8,41,225,0
4.4,11.4,28,231,0
3.7,7.4,27,87,0
3.8,6.9,29,72,0
3.9,7.9,31,228,0
3.9,8.3,32,294,0
3.7,7.3,29,275,0
3.9,7.4,38,300,0
4,8.4,27,298,0
2.6,6.2,31,259,0
3.8,8.1,36,285,0
3.6,7.5,29,269,0
3.7,7.4,17,89,0
3.5,8.2,26,80,0
3.8,7.7,32,277,0
3.5,8.4,32,236,0
3.7,8.2,29,80,0
3.2,5,26,270,0
5.7,12.1,30,97,0
3.5,7.3,22,230,0
2.6,6.7,31,65,0
3.9,6.9,27,51,0
3.7,8.4,44,263,0
3.6,7.6,22,66,0
2.9,6.4,26,73,0
3.1,5.3,28,99,0
3.6,7.9,27,298,0
3.6,7.3,26,253,0
4.5,10.1,30,220,0
3.8,8.2,27,245,0
3.9,7.1,32,269,0
3.8,6.8,24,82,0
3.7,8,32,93,0
3.8,7.8,31,207,0
4,8.4,29,241,0
5.9,7.9,28,96,0
3.6,8.1,30,294,0
3.1,6.7,28,93,0
3.9,7.3,31,233,0
3.7,8.7,18,225,0
3.9,6.8,44,66,0
3.5,7.4,31,230,0
3.6,8.5,31,51,0
3.6,7.2,18,82,0
3.9,6.8,31,96,0
4.4,13.6,26,71,0
2.6,5.1,28,291,0
3.6,7.4,34,62,0
3.5,8.3,31,50,0
2.7,6.7,27,282,0
3.5,7.4,27,288,0
3.5,7.5,31,99,0
3.7,7.4,26,65,0
3.7,7.5,29,281,0
3.9,8.4,43,276,0
4,7.1,32,95,0
3.7,8.1,32,60,0
3.7,8.6,35,67,0
3.5,8,32,89,0
3.8,8.5,15,225,0
3.7,7.7,32,266,0
2.5,6.1,30,63,0
3.7,7.9,23,217,0
3.6,8.4,35,84,0
3.9,8.6,44,100,0
4,8.3,22,92,0
5.5,11,31,84,0
3.4,5.4,30,100,0
4,7.1,26,71,0
3.6,8.6,31,99,0
2.7,6.2,27,73,0
3.7,6.9,26,80,0
4.3,7.1,30,201,0
3.7,7.2,25,74,0
3.8,8,28,84,0
4,7.4,28,248,0
5,10.4,29,234,0
2.5,6.4,28,100,0
3.6,8.3,28,291,0
3.3,5.4,28,224,0
5.8,8.6,26,66,0
4.2,13.9,29,89,0
3.8,7.8,26,294,0
3.6,7.6,38,255,0
3.7,8.6,31,88,0
3.5,7.4,45,243,0
3.9,7.6,31,283,0
3.7,6.9,32,62,0
3.7,7.5,30,254,0
3.7,6.8,28,300,0
5.9,13.3,27,210,0
3.9,7.7,27,88,0
3.9,7.9,29,272,0
5.4,9.4,29,66,0
3.9,7.4,31,76,0
3.8,7.9,17,77,0
3.9,7.8,35,92,0
3.5,7.7,21,76,0
3.9,7.9,29,93,0
3.9,7.2,32,91,0
3.8,7,32,55,0
3.8,8,27,272,0
5.7,8.2,26,243,0
4.3,10.5,27,285,0
3.7,8.2,19,71,0
3.8,8.2,32,275,0
3.5,8,32,275,0
5,8.5,32,70,0
4.9,9.2,30,242,0
3.8,7.8,27,67,0
3.9,8.7,31,99,0
4,8.2,18,57,0
3.5,7.4,30,89,0
2.9,5.2,30,282,0
3.5,8.1,20,65,0
3.7,7.9,44,221,0
3.1,5.7,31,87,0
3.7,8.7,21,80,0
3.8,8.2,38,274,0
5.8,13.7,27,225,0
3.7,7.7,27,236,0
3.2,6.3,29,289,0
3.5,6.9,36,237,0
2.5,5.4,32,72,0
3.7,7.9,26,218,0
3.1,6.5,27,224,0
3.7,7,45,243,0
2.6,5,26,73,0
4,7.2,28,56,0
3.6,7.8,29,225,0
3.4,5.7,29,85,0
3.8,7.5,31,242,0
3.5,8.5,32,86,0
3,5.9,26,55,0
3.5,8.7,31,298,0
4,7.3,27,223,0
3.4,5.7,31,73,0
4,8.2,25,99,0
3.7,7.2,29,280,0
3.9,8.4,15,89,0
3.5,8,29,235,0
5.6,13.3,29,265,0
2.5,6.1,30,73,0
4,7.6,28,294,0
3.9,8.7,29,207,0
3.7,6.8,44,72,0
3.5,7,27,52,0
4,6.9,38,81,0
2.7,6.2,28,81,0
3.5,7.7,28,272,0
3.7,7.5,26,64,0
3.6,7.1,27,277,0
4,8.4,31,202,0
3.5,7.7,32,233,0
3.8,7.5,26,205,0
2.7,6.6,27,244,0
4,8.7,26,262,0
3.6,8.1,16,94,0
3.7,8.5,21,211,0
3.9,8.5,22,74,0
3.5,8,22,98,0
3.7,7.6,29,253,0
2.8,5.3,27,227,0
2.6,5.3,32,96,0
4,8.7,22,226,0
3.8,6.8,24,298,0
3.6,8.5,29,54,0
4.9,8.3,31,258,0
3.6,7.2,27,69,0
4,7.8,33,77,0
5.6,9.6,32,290,0
3.5,7.8,28,235,0
3.1,5.4,29,201,0
3.5,7.4,26,77,0
3.6,7.8,30,82,0
3.5,6.8,24,209,0
6,11.9,27,57,0
4,7.9,15,277,0
3.5,7.2,27,288,0
6,12.6,31,58,0
4.4,8.8,26,293,0
5.3,9.6,32,214,0
3.9,8,19,91,0
3.7,8.1,28,293,0
54,7.4,27,209,0
3.8,7.1,27,65,0
3.9,8.3,26,246,0
3.9,6.9,27,299,0
6,7.2,28,57,0
3,6.4,31,80,0
3.5,8,28,55,0
3.8,7.6,27,279,0
4.5,11.2,31,256,0
5.8,7.7,28,79,0
4.4,10.6,32,84,0
4,8.6,31,281,0
3,6.6,28,269,0
2.8,5.1,29,64,0
3.6,7.3,43,87,0
3.5,8.4,19,264,0
3.5,7.9,26,73,0
3.8,7.9,30,77,0
3.4,6.1,29,230,0
5.4,9.3,27,81,0
3.9,7.3,20,86,0
3.5,7.2,29,64,0
5.3,7.6,32,76,0
5,12.6,27,279,0
2.7,5.9,31,201,0
5.4,13.2,32,271,0
3.9,7.4,28,295,0
5,7.2,32,62,0
3.1,6.3,31,205,0
3.5,8.1,21,250,0
3.6,7.3,15,56,0
3.1,6.7,26,71,0
4.2,8,26,208,0
3.7,8.7,38,268,0
3.5,8.3,32,76,0
3.6,7.4,32,82,0
3.8,8.3,16,223,0
3.7,7.1,26,267,0
54,13,28,204,0
3.9,6.8,16,96,0
3.1,6.5,32,57,0
3.7,7.3,23,264,0
4,7.9,26,89,0
3.7,7.7,19,62,0
3.4,6.2,32,277,0
3.7,7.5,30,242,0
5.1,10.2,27,86,0
3.9,8.4,26,69,0
